Casebook Version,Form Name,Form Contents Restricted,Item Group Name,Item Group Label,Item Group External ID,Item Group SDTM Name,Item Name,Item Label,Item External ID,Item SDTM Name,Data Type,Codelist,Codelist External ID,Unit,Unit External ID
1,LBCHEM,No,ig_LBCHEM1,Chemistry,ig_LBCHEM1,,LBDAT,Collection Date,LBDAT,LBDTC,Date,,,,
1,LBCHEM,No,ig_LBCHEM1,Chemistry,ig_LBCHEM1,,LBNAM,Laboratory Name,LBNAM,LBNAM,Text,cl_LBNAME1,cl_LBNAME1,,
1,LBCHEM,No,ig_LBCHEM1,Chemistry,ig_LBCHEM1,,LB_LABEL1,Lab results should not be entered prior to documentation of Physician-Investigator assessment.,LB_LABEL1,,Text,,,,
1,LBCHEM,No,ig_LBCHEM1,Chemistry,ig_LBCHEM1,,LB_LABEL3,"For other laboratories, please enter the entire range for Lab Normals below including the hyphen with no spaces. If not known, enter UNK. If the unit in source does not match the unit on the CRF, please provide the source unit in the “Lab Normal Range” field.",LB_LABEL3,,Text,,,,
1,LBCHEM,No,ig_LBCHEM1,Chemistry,ig_LBCHEM1,,LBCHEMPERF,Were Chemistry Tests Performed?,LBCHEMPERF,LBSTAT,Text,cl_YN1,cl_YN1,,
1,LBCHEM,No,ig_LBCHEM1,Chemistry,ig_LBCHEM1,,LB_LABEL2,"If a greater than or less than sign is included in the results, enter the numeric value of the result along with the special character in this field without spaces (ex. <5). Please ensure lab results are reported in the unit required by the CRF.  ",LB_LABEL2,,Text,,,,
1,LBCHEM,No,ig_LBCHEM1,Chemistry,ig_LBCHEM1,,LBNAMOTH,Specify Other Laboratory,LBNAMOTH,LBNAMOTH,Text,,,,
1,LBCHEM,No,ig_LBCHEM2,Chemistry Results,ig_LBCHEM2,,LBCHEMTEST,Lab Test Name,LBCHEMTEST,LBTEST,Text,cl_LBCHEM1,cl_LBCHEM1,,
1,LBCHEM,No,ig_LBCHEM2,Chemistry Results,ig_LBCHEM2,,LB_LABEL4,"Complete an Adverse Event Form if the Overall Interpretation is Abnormal, CS",LB_LABEL4,,Text,,,,
1,LBCHEM,No,ig_LBCHEM2,Chemistry Results,ig_LBCHEM2,,LBORRES,Lab Result,LBORRES,LBORRES,Text,,,,
1,LBCHEM,No,ig_LBCHEM2,Chemistry Results,ig_LBCHEM2,,LBCLSIG,Clinical Significance,LBCLSIG,,Text,cl_LBCLSIG1,cl_LBCLSIG1,,
1,LBCHEM,No,ig_LBCHEM2,Chemistry Results,ig_LBCHEM2,,LBNR,Lab Normal Range,LBNR,LBNR,Text,,,,
1,LBCOAG,No,ig_LBCOAG1,Coagulation Test,ig_LBCOAG1,,LBDAT,Collection Date,LBDAT,LBDTC,Date,,,,
1,LBCOAG,No,ig_LBCOAG1,Coagulation Test,ig_LBCOAG1,,LBNAM,Laboratory Name,LBNAM,LBNAM,Text,cl_LBNAME1,cl_LBNAME1,,
1,LBCOAG,No,ig_LBCOAG1,Coagulation Test,ig_LBCOAG1,,LB_LABEL1,Lab results should not be entered prior to documentation of Physician-Investigator assessment.,LB_LABEL1,,Text,,,,
1,LBCOAG,No,ig_LBCOAG1,Coagulation Test,ig_LBCOAG1,,LB_LABEL3,"For other laboratories, please enter the entire range for Lab Normals below including the hyphen with no spaces. If not known, enter UNK. If the unit in source does not match the unit on the CRF, please provide the source unit in the “Lab Normal Range” field.",LB_LABEL3,,Text,,,,
1,LBCOAG,No,ig_LBCOAG1,Coagulation Test,ig_LBCOAG1,,LB_LABEL2,"If a greater than or less than sign is included in the results, enter the numeric value of the result along with the special character in this field without spaces (ex. <5). Please ensure lab results are reported in the unit required by the CRF.  ",LB_LABEL2,,Text,,,,
1,LBCOAG,No,ig_LBCOAG1,Coagulation Test,ig_LBCOAG1,,LBCOAGPERF,Were Coagulation Tests Performed?,LBCOAGPERF,,Text,cl_YN1,cl_YN1,,
1,LBCOAG,No,ig_LBCOAG1,Coagulation Test,ig_LBCOAG1,,LBNAMOTH,Specify Other Laboratory,LBNAMOTH,LBNAMOTH,Text,,,,
1,LBCOAG,No,ig_LBCOAG2,Coagulation Test Results,ig_LBCOAG2,,LB_LABEL4,"Complete an Adverse Event Form if the Overall Interpretation is Abnormal, CS",LB_LABEL4,,Text,,,,
1,LBCOAG,No,ig_LBCOAG2,Coagulation Test Results,ig_LBCOAG2,,LBORRES,Lab Result,LBORRES,LBORRES,Text,,,,
1,LBCOAG,No,ig_LBCOAG2,Coagulation Test Results,ig_LBCOAG2,,LBCOAGTEST,Lab Test Name,LBCOAGTEST,LBTEST,Text,cl_LBCOAG1,cl_LBCOAG1,,
1,LBCOAG,No,ig_LBCOAG2,Coagulation Test Results,ig_LBCOAG2,,LBCLSIG,Clinical Significance,LBCLSIG,,Text,cl_LBCLSIG1,cl_LBCLSIG1,,
1,LBCOAG,No,ig_LBCOAG2,Coagulation Test Results,ig_LBCOAG2,,LBNR,Lab Normal Range,LBNR,LBNR,Text,,,,
1,LBHEMA,No,ig_LBHEMA1,Hematology,ig_LBHEMA1,,LBDAT,Collection Date,LBDAT,LBDTC,Date,,,,
1,LBHEMA,No,ig_LBHEMA1,Hematology,ig_LBHEMA1,,LBNAM,Laboratory Name,LBNAM,LBNAM,Text,cl_LBNAME1,cl_LBNAME1,,
1,LBHEMA,No,ig_LBHEMA1,Hematology,ig_LBHEMA1,,LB_LABEL1,Lab results should not be entered prior to documentation of Physician-Investigator assessment.,LB_LABEL1,,Text,,,,
1,LBHEMA,No,ig_LBHEMA1,Hematology,ig_LBHEMA1,,LB_LABEL3,"For other laboratories, please enter the entire range for Lab Normals below including the hyphen with no spaces. If not known, enter UNK. If the unit in source does not match the unit on the CRF, please provide the source unit in the “Lab Normals” field.",LB_LABEL3,,Text,,,,
1,LBHEMA,No,ig_LBHEMA1,Hematology,ig_LBHEMA1,,LB_LABEL2,"If a greater than or less than sign is included in the results, enter the numeric value of the result along with the special character in this field without spaces (ex. <5). Please ensure lab results are reported in the unit required by the CRF.  ",LB_LABEL2,,Text,,,,
1,LBHEMA,No,ig_LBHEMA1,Hematology,ig_LBHEMA1,,LBHEMAPERF,Were Hematology Tests Performed?,LBHEMAPERF,,Text,cl_YN1,cl_YN1,,
1,LBHEMA,No,ig_LBHEMA1,Hematology,ig_LBHEMA1,,LBNAMOTH,Specify Other Laboratory,LBNAMOTH,LBNAMOTH,Text,,,,
1,LBHEMA,No,ig_LBHEMA2,Hematology Results,ig_LBHEMA2,,LBHEMATEST,Lab Test Name,LBHEMATEST,LBTEST,Text,cl_LBHEMA1,cl_LBHEMA1,,
1,LBHEMA,No,ig_LBHEMA2,Hematology Results,ig_LBHEMA2,,LB_LABEL4,"Complete an Adverse Event Form if the Overall Interpretation is Abnormal, CS",LB_LABEL4,,Text,,,,
1,LBHEMA,No,ig_LBHEMA2,Hematology Results,ig_LBHEMA2,,LBORRES,Lab Result,LBORRES,LBORRES,Text,,,,
1,LBHEMA,No,ig_LBHEMA2,Hematology Results,ig_LBHEMA2,,LBCLSIG,Clinical Significance,LBCLSIG,,Text,cl_LBCLSIG1,cl_LBCLSIG1,,
1,LBHEMA,No,ig_LBHEMA2,Hematology Results,ig_LBHEMA2,,LBNR,Lab Normal Range,LBNR,LBNR,Text,,,,
1,SV,No,ig_SV1,Study Visit,ig_SV1,,SV_LABEL2,Please ensure that the medication has been entered on the Concomitant Medication CRF appropriately.,SV_LABEL2,,Text,,,,
1,SV,No,ig_SV1,Study Visit,ig_SV1,,SV_LABEL1,Please ensure that the AE has been entered on the Adverse Event CRF appropriately.,SV_LABEL1,,Text,,,,
1,SV,No,ig_SV1,Study Visit,ig_SV1,,SVAEREP,Any new adverse events or changes in existing adverse events to report?,SVAEREP,,Text,cl_YN1,cl_YN1,,
1,SV,No,ig_SV1,Study Visit,ig_SV1,,RSCAT,Disease Type,RSCAT,,Text,cl_RSCAT1,cl_RSCAT1,,
1,SV,No,ig_SV1,Study Visit,ig_SV1,,SVCMREP,Any new concomitant medications or changes in existing concomitant medications to report?,SVCMREP,,Text,cl_YN1,cl_YN1,,
1,SV,No,ig_SV1,Study Visit,ig_SV1,,SVOCCUR,Did the protocol-specified study visit occur?,SVOCCUR,,Text,cl_YN1,cl_YN1,,
1,LBLC,No,ig_LBLC1,Lymphocyte Counts,ig_LBLC1,,LBDAT,Collection Date,LBDAT,LBDTC,Date,,,,
1,LBLC,No,ig_LBLC1,Lymphocyte Counts,ig_LBLC1,,LBNAM,Laboratory Name,LBNAM,LBNAM,Text,cl_LBNAME1,cl_LBNAME1,,
1,LBLC,No,ig_LBLC1,Lymphocyte Counts,ig_LBLC1,,LB_LABEL3,"For other laboratories, please enter the entire range for Lab Normals below including the hyphen with no spaces. If not known, enter UNK. If the unit in source does not match the unit on the CRF, please provide the source unit in the “Lab Normal Range” field.",LB_LABEL3,,Text,,,,
1,LBLC,No,ig_LBLC1,Lymphocyte Counts,ig_LBLC1,,LBLCPERF,Were lymphocyte count tests performed?,LBLCPERF,LBPERF,Text,cl_YN1,cl_YN1,,
1,LBLC,No,ig_LBLC1,Lymphocyte Counts,ig_LBLC1,,LBNAMOTH,Specify Other Laboratory,LBNAMOTH,LBNAMOTH,Text,,,,
1,LBLC,No,ig_LBLC2,Lymphocyte Counts Result,ig_LBLC2,,LBORRES,Lab Result,LBORRES,LBORRES,Text,,,,
1,LBLC,No,ig_LBLC2,Lymphocyte Counts Result,ig_LBLC2,,LBLCTEST,Lab Test Name,LBLCTEST,LBTEST,Text,cl_LBLC1,cl_LBLC1,,
1,LBLC,No,ig_LBLC2,Lymphocyte Counts Result,ig_LBLC2,,LBNR,Lab Normal Range,LBNR,LBNR,Text,,,,
1,QSECOG,No,ig_QSECOG1,ECOG Performance Status,ig_QSECOG1,,QSDAT,Date of Assessment,QSDAT,,Date,,,,
1,QSECOG,No,ig_QSECOG1,ECOG Performance Status,ig_QSECOG1,,QSECOGPERF,ECOG Perfomance Status,QSECOGPERF,,Text,cl_QSECOG1,cl_QSECOG1,,
1,LBHLH,No,ig_HLH1,HLH/MAS,ig_HLH1,,LBDAT,Collection Date,LBDAT,LBDTC,Date,,,,
1,LBHLH,No,ig_HLH1,HLH/MAS,ig_HLH1,,LBNAM,Laboratory Name,LBNAM,LBNAM,Text,cl_LBNAME1,cl_LBNAME1,,
1,LBHLH,No,ig_HLH1,HLH/MAS,ig_HLH1,,LB_LABEL1,Lab results should not be entered prior to documentation of Physician-Investigator assessment.,LB_LABEL1,,Text,,,,
1,LBHLH,No,ig_HLH1,HLH/MAS,ig_HLH1,,LBHLHPERF,Was HLH/MAS performed?,LBHLHPERF,,Text,cl_YN1,cl_YN1,,
1,LBHLH,No,ig_HLH1,HLH/MAS,ig_HLH1,,LB_LABEL3,"For other laboratories, please enter the entire range for Lab Normals below including the hyphen with no spaces. If not known, enter UNK. If the unit in source does not match the unit on the CRF, please provide the source unit in the “Lab Normal Range” field.",LB_LABEL3,,Text,,,,
1,LBHLH,No,ig_HLH1,HLH/MAS,ig_HLH1,,LB_LABEL2,"If a greater than or less than sign is included in the results, enter the numeric value of the result along with the special character in this field without spaces (ex. <5). Please ensure lab results are reported in the unit required by the CRF.  ",LB_LABEL2,,Text,,,,
1,LBHLH,No,ig_HLH1,HLH/MAS,ig_HLH1,,LBNAMOTH,Specify Other Laboratory,LBNAMOTH,LBNAMOTH,Text,,,,
1,LBHLH,No,ig_HLH2,HLH/MAS Results,ig_HLH2,,LB_LABEL4,"Complete an Adverse Event Form if the Overall Interpretation is Abnormal, CS",LB_LABEL4,,Text,,,,
1,LBHLH,No,ig_HLH2,HLH/MAS Results,ig_HLH2,,LBORRES,Lab Result,LBORRES,LBORRES,Text,,,,
1,LBHLH,No,ig_HLH2,HLH/MAS Results,ig_HLH2,,LBCLSIG,Clinical Significance,LBCLSIG,,Text,cl_LBCLSIG1,cl_LBCLSIG1,,
1,LBHLH,No,ig_HLH2,HLH/MAS Results,ig_HLH2,,LBHLHTEST,Lab Test Name,LBHLHTEST,LBTEST,Text,cl_LBHLH1,cl_LBHLH1,,
1,LBHLH,No,ig_HLH2,HLH/MAS Results,ig_HLH2,,LBNR,Lab Normal Range,LBNR,LBNR,Text,,,,
1,LBSIG,No,ig_LBSIG1,Serum Immunoglobulin,ig_LBSIG1,,LBDAT,Collection Date,LBDAT,LBDTC,Date,,,,
1,LBSIG,No,ig_LBSIG1,Serum Immunoglobulin,ig_LBSIG1,,LBNAM,Laboratory Name,LBNAM,LBNAM,Text,cl_LBNAME1,cl_LBNAME1,,
1,LBSIG,No,ig_LBSIG1,Serum Immunoglobulin,ig_LBSIG1,,LB_LABEL1,Lab results should not be entered prior to documentation of Physician-Investigator assessment.,LB_LABEL1,,Text,,,,
1,LBSIG,No,ig_LBSIG1,Serum Immunoglobulin,ig_LBSIG1,,LBSIGPERF,Was Serum Immunoglobulin Test Performed?,LBSIGPERF,LBSTAT,Text,cl_YN1,cl_YN1,,
